Code,Location
LAU  ,"Laurier, WA"
LCB  ,"Laredo, Columbia Bridge"
LEB  ,"Lebanon, ME"
LEW ,"Lewiston, NY"
LIM  ,"Limestone, ME"
LKC  ,"Lake Charles, LA"
LLB  ,"Laredo Juarez-Lincoln Bridge 2, TX"
LNB  ,"Long Beach, CA"
LOI  ,Los Indios
LON ,"Longview, WA"
LOR  ,"Lorain, OH"
LOS  ,"Los Angeles, CA"
LOU ,"Louisville, KY"
LSE  ,"Los Ebanos, TX"
LUB  ,"Lubec, ME"
LUK  ,"Lukeville, AZ"
LVG  ,"Las Vegas, NV"
LWT ,"Laredo, World Trade Bridge"
LYN  ,"Lynden, WA"
M     ,"Algoma, WI"
MAA ,Abu Dhabi INTL
MAD ,"Madawaska, ME"
MAG ,"McGuire AFB, NJ"
MAI  ,"Maida, ND"
MAP ,"Mariposa, AZ"
MAS ,"Massena, NY"
MAY ,"Mayaguez, PR"
MCI  ,"McAllen, TX"
MEM ,"Memphis, TN"
MET ,"Metaline Falls, WA"
MGC ,"Morgan City, LA"
MGM,"Morgan, MT"
MIA  ,"Miami, FL"
MIL  ,"Milwaukee, WI"
MND ,"Minot, ND (Int'l Airport)"
MNW,"Manitowoc, WI"
MOB ,"Mobile, AL"
MON ,"Montreal, Quebec"
MOO,"Mooers, NY"
MOR ,"Morses Line, VT"
MRC ,"Marine City, MI"
MRH ,"Morehead City, NC"
MRR ,"Morristown, NY"
MRY ,"Marysville, MI"
MSP ,Minneapolis/St. Paul (Int'l Airport)
MTH ,"Marathon ARPT, FL"
MYR ,"Myrtle Beach, SC"
NAC ,"Naco, AZ"
NAS ,"Nassau, Bahamas"
NEA  ,"Neah Bay, WA"
NEC  ,"Neche, ND"
NEW ,"Newark, NJ"
NIA  ,"Niagara Falls, NY"
NIG  ,"Nighthawk, WA"
NIK  ,"Nikiski, AK"
NOG ,"Nogales, AZ"
NOL ,"New Orleans, LA"
NOM ,"Nome, AK"
NOO ,"Noonan, ND"
NOR ,"Norfolk, VA"
NOY ,"Noyes, MN"
NPV  ,"Newport, VT"
NPW,"Northport, WA"
NRG ,"Northgate, ND"
NRN ,"Norton, VT"
NRT  ,"North Troy, VT"
NSV ,"Nashville, TN"
NWH,"New Haven, CT"
NWL ,"New London, CT"
NWN,"Newport News, VA"
NYC  ,"New York, NY"
OAK ,"Oakland, CA"
OGD ,"Ogdensburg, NY"
OKC ,"Oklahoma City, OK"
OLY  ,"Olympia, WA"
OMA ,"Omaha, NE"
OPH ,"Opheim, MT"
ORL  ,"Orlando, FL"
ORO ,"Oroville, WA"
OSW,"Oswego, NY"
OTM ,"Otay Mesa POE, CA"
OTT  ,"Ottawa, Canada"
PAN  ,"Panama City, FL"
PAR  ,"Port Arthur, TX"
PAS  ,"Pascagoula, MS"
PAX  ,"Patuxent River, MD"
PBB  ,"Peace Bridge, NY"
PCF  ,"Port Canaveral, FL"
PDN ,"Paso del Norte, El Paso, TX"
PEM ,"Pembina, ND"
PEN  ,"Pensacola, FL"
PER  ,"Perth Amboy, NJ"
PEV  ,"Port Everglades, FL"
PGR  ,"Progreso, TX"
PHI  ,"Philadelphia, PA"
PHO ,"Phoenix, AZ"
PHR  ,"Pharr, TX"
PHU ,"Port Huron, M"
PHY  ,"Pacific Highway POE, WA"
PIB  ,"Paradise, Island, Bahamas"
PIE   ,"Piegan, MT"
PIN  ,"Pine Creek, MN"
PIT   ,"Pittsburgh, PA"
PIV  ,"Pinnacle POE, VT"
PKC  ,"Poker Creek, AK"
PNG ,"Port Angeles, WA"
PNH ,"Pittsburg, NH"
POE  ,"Port of El Paso, TX"
POM ,"Portland, ME"
PON ,"Ponce, PR"
POO ,"Portland, OR"
POR ,"Portal, ND"
PRC  ,Prince Rupert BC Canada
PRE  ,"Presidio, TX"
PRO ,"Providence, RI"
