,Code,Location,city,state_or_country
161,HID  ,"Hidalgo, TX",Hidalgo, TX
162,HIG  ,"Highgate Springs, VT",Highgate Springs, VT
163,HLG  ,"Harlingen, TX",Harlingen, TX
164,HML ,"Hamlin, ME",Hamlin, ME
165,HMM,"Hammond, IN",Hammond, IN
166,HNN ,"Hannah, ND",Hannah, ND
167,HNS ,"Hansboro, ND",Hansboro, ND
168,HOB ,"Hoboken, NJ",Hoboken, NJ
169,HOM ,"Homer, AK",Homer, AK
170,HOP ,"Hopewell, VA",Hopewell, VA
171,HOU ,"Houston, TX",Houston, TX
172,HSB ,"Harrisburg, PA",Harrisburg, PA
173,HTM ,"Houlton, ME",Houlton, ME
174,HUM ,"Humacao, PR",Humacao, PR
175,HVR ,"Wild Horse, MT",Wild Horse, MT
176,HYD ,"Hyder, AK",Hyder, AK
177,IND  ,Los Indios,Los Indios,
178,INP  ,"Indianapolis, IN",Indianapolis, IN
179,INT  ,"International Falls, MN",International Falls, MN
180,ISB  ,"Port Isabel, TX",Port Isabel, TX
181,ISL   ,"Isle Royale, MI",Isle Royale, MI
182,IVP  ,"Calexico, Truck Crossing",Calexico, Truck Crossing
183,JAC  ,"Jacksonville, FL",Jacksonville, FL
184,JER  ,"Jersey City, NJ",Jersey City, NJ
185,JKM  ,"Jackman, ME",Jackman, ME
186,JOB  ,"Jobos, PR",Jobos, PR
187,JUN  ,"Juneau, AK",Juneau, AK
188,KAL  ,"Kalispell, MT",Kalispell, MT
189,KAN ,"Kansas City, MO",Kansas City, MO
190,KET  ,"Ketchikan, AK",Ketchikan, AK
191,KEY  ,"Key West, FL",Key West, FL
192,KLM ,"Kalama, WA",Kalama, WA
193,KOA ,"Kona, HI",Kona, HI
194,LAN  ,"Lancaster, MN",Lancaster, MN
195,LAR  ,"Laredo, TX Juarez-Lincoln Bridge",Laredo, TX Juarez-Lincoln Bridge
196,LAU  ,"Laurier, WA",Laurier, WA
197,LCB  ,"Laredo, Columbia Bridge",Laredo, Columbia Bridge
198,LEB  ,"Lebanon, ME",Lebanon, ME
199,LEW ,"Lewiston, NY",Lewiston, NY
